,Artists,Title,Lyrics
15,INTERWORLD,METAMORPHOSIS,"METAMORPHOSIS LyricsI'ma pimp hoes fallin' for this pimpin' rap game
Slowly hit the tempo, just enough to keep these bitches tame
Makin' fame off a nigga dick, bitches suckin' dick
Make it quick, off my dick, yeah, I took a foreign chick
Bankroll, other ho just a victim that I chose
Have you suckin' 'til it's swole, I be bonin' other hoes
Niggas wanna learn the game, but keep talkin' shit
I'll be forced to trash 'em, may the best man win this
I'ma pimp hoes fallin' for this pimpin' rap game
Slowly hit the tempo, just enough to keep these bitches tame
Makin' fame off a nigga dick, bitches suckin' dick
Make it quick, off my dick, yeah, I took a forеign chick
Bankroll, other ho just a victim that I chose
Have you suckin' 'til it's swolе, I be bonin' other hoes
Niggas wanna learn the game, but keep talkin' shit
I'll be forced to trash 'em, may the best man win this

I'ma pimp hoes fallin' for this pimpin' rap game
Slowly hit the tempo, just enough to keep these bitches tame
Makin' fame off a nigga dick, bitches suckin' dick
Make it quick, off my dick, yeah, I took a foreign chick
Bankroll, other ho just a victim that I chose
Have you suckin' 'til it's swole, I be bonin' other hoes
Niggas wanna learn the game, but keep talkin' shit
I'll be forced to trash 'em, may the best man win this
I'ma pimp hoes fallin' for this pimpin' rap game
Slowly hit the tempo, just enough to keep these bitches tame
Makin' fame off a nigga dick, bitches suckin' dick
Make it quick, off my dick, yeah, I took a foreign chick
Bankroll, other ho just a victim that I chose
Have you suckin' 'til it's swole, I be bonin' other hoes
Niggas wanna learn the game, but keep talkin' shit
I'll be forced to trash 'em, may the best man win thisYou might also likeEmbed"
16,Harry Styles,As It Was,"TranslationsTürkçeEspañolPortuguês日本語ItalianoΕλληνικάDeutschFrançaisEnglishEnglishNederlandsShqipPolski한국어As It Was Lyrics
Come on, Harry, we wanna say goodnight to you

Holdin' me back
Gravity's holdin' me back
I want you to hold out the palm of your hand
Why don't we leave it at that?
Nothin' to say
When everything gets in the way
Seems you cannot be replaced
And I'm the one who will stay, oh-oh-oh
In this world, it's just us
You know it's not the same as it was
In this world, it's just us
You know it's not the same as it was
As it was, as it was
You know it's not the same

Answer the phone
""Harry, you're no good alone
Why are you sitting at home on the floor?
What kind of pills are you on?""
Ringin' the bell
And nobody's coming to help
Your daddy lives by himself
He just wants to know that you're well, oh-oh-oh

In this world, it's just us
You know it's not the same as it was
In this world, it's just us
You know it's not the same as it was
As it was, as it was
You know it's not the same
You might also like
Go home, get ahead, light-speed internet
I don't wanna talk about the way that it was
Leave America, two kids follow her
I don't wanna talk about who's doin' it first

(Hey)
As it was
You know it's not the same as it was
As it was, as it was187Embed"
17,Irina Kairatovna,5000,"5000 Lyrics

Jamal & Ganja

М-м, а, бітпейтін тастар
Эй, биттейтін бастар
Сен тиіспейтін зат бар
Ешкім—, (тс-с), ешкімге айтпа
Оставь там это
А где твой план, чтобы всё это заработало?
Гонишься за модой, ты стёр все баррикады
Мои тараканы не спят, не спят уже давно
Мен тым кеттім арықтап, жоқ, я не больной!
Отстань, ты не доживешь до утра даже
Всю дрянь выкинуть здесь пора уже
Нет, это бред
Ведь ты под опекой демона
Неосознанно все делаешь
Где реагенты? Чекни глаза!
В кармане пятка и 5к, тоқта!
В кармане пятка и 5к, тоқта!
В кармане пятка и 5к, тоқта!

Там наполовину как Тирион (Чё?)
Все злые, будто бы учились в Слизерин
Тез, тез, тезірек
Надо бы по-быстрому отправить визаря (Визаря)
Полный фильм хотим по телевизору (Добрый вечер)
Мало было нам, не хватило тизера
Расписанные планы на стикерах, не презирай (Неа)
Ризлы замаскированы под сигареты
Суровые гризли убили конфеты
Забыли сантименты, притупили логику (До свидания)
В кармане только 5к на ход ноги
Мы с тобой не просто так учим биологию (А?)
Мы с тобой довольные (А-а...)
Веки под свинцом — без паники (Оу)
Если углубляться, то помимо анатомии
Сегодня познакомились с ботаникой

В кармане пятка и 5к, тоқта!
В кармане пятка и 5к, тоқта!
You might also like
Тікенектей тікелей эфирыңды тек текелер көреді
Тебіренім теңге әкеледі, дегенмен
Өскен жерім — дегелең, қойып қойдым көлденең
Сөзімді қайталайды бүкіл ел
Менде бәрі жақсы: қалта толған баксы
«Бүгін кешке не істеймін?» деп ауыртпаймын басты
Бізде чисто hustle —  хули, жаспын!
Хули, кеттік, бәрін таста!
Сондықтан да қазақстанда бір ғана банда
Бұл — қазақи пропаганда
Бес мың қалтамда, қайдан тапсам да
Сенің қалаңда шайқалады орнынан (А-а)
Саған да орын бар (А-а)
Армандар орындалады
Соңында, сенбегендер — сорыңдар!
Қалтамда тек қана 5к, тоқта!

В кармане пятка и 5к, тоқта!
В кармане пятка и 5к, тоқта!4Embed"
18,Jah Khalib,Доча,"Доча (Daughter) Lyrics

Что ты видишь в своих снах?
Там наверное весна
И плывут облака?
В твоих миленьких глазах
И, надеюсь, в твоих снах
Где-то рядом есть я
И я одна из причин, по которой ты улыбаешься
Как это прекрасно быть отцом!
Как это прекрасно быть отцом!
Стою на земле, но невесом
Я думаю: готов отдать тебе всё целиком
Когда я смотрю на твое лицо
Я пою: о, Боже!
Как ты на меня похожа
Я счастлив, когда ты тоже
Ведь это чувство до дрожи

Что ты видишь в своих снах?
Там наверное весна
И плывут облака?
В твоих миленьких глазах
И, надеюсь, в твоих снах
Где-то рядом есть я
И я одна из причин, по которой ты улыбаешься

Как это прекрасно - быть отцом, особенно твоим
Я видел всю планету, но в тебе есть целый мир
Ты еще не умеешь, но мы часто говорим
С тобою нахожу себя другим
И я спускаюсь со сцены, и смываю грим
Перед тобой без масок я верю, что любим
Перед тобой я тот, кто я есть, золото теряет вес
Когда мы лишь глазами говорим
Из грубого, типичного брутала, наглеца
Я превращаюсь в твоего миленького отца
И словно за мгновение пролетают месяца
В тебе я постоянно наблюдаю чудеса
И пою: О, Боже, да!
Как ты на меня похожа, да
Я счастлив, когда ты тоже да
Ведь чувство до дрожи…
You might also like
Что ты видишь в своих снах?
Там наверное весна
И плывут облака?
В твоих миленьких глазах
И, надеюсь, в твоих снах
Где-то рядом есть я
И я одна из причин, по которой ты улыбаешься

Что ты видишь в своих снах?
Там наверное весна
И плывут облака?
В твоих миленьких глазах
И, надеюсь, в твоих снах
Где-то рядом есть я
И я одна из причин, по которой ты улыбаешьсяEmbed"
19,Bakr,Статус души,"Как дела? (How are you?) Lyrics

Чё скажешь?
Понял, а, е
Е, чё скажешь?
Moscow, Saint P
Понял
Чё скажешь всё-таки?

Слышь, как дела? Слышь, как дела?
Бейби, как дела? Бейби, как дела?
Ты не за динамо, я не в мокрых кроссах
Давай на серьёзном, давай всё по-взрослому
Слышь, как дела? Слышь, как дела?
Бейби, как дела? Бейби, как дела?
СМСка поздно, прилетаю в Moscow
Прыжок в такси, мы наблюдаем звёзды
Я волнуюсь, это жёсткое палево
Ведь со мной говорят губы цвета спелая малина
Поцелуй, и я полезу на ту статую Сталина
Дай мне руки, мы нарушим сегодня чьи-нибудь правила
Я забываю обо всех с тобой в семь утра
Мне пора идти, у меня дела
Бейби манит в душ, мне нужна вода
Это, походу, фит Saint P и Москва, е
Я волнуюсь, это жёсткое палево
Ведь со мной говорят губы цвета спелая малина
На секунду залетаем после клабика в Марьино
Первый раз поцеловались на площадке у спального
Я парень ровный, за меня всё знает народ
Предпочитаю сигаретам воду, книги и спорт
Мое хобби — это рифмы, план добиться высот
Пойдём за мной, я покажу где мы увидим восход
Где мы увидим зарю, где мы увидим рассвет
Где я влюбился в тебя и посчитал за свою
Я позабыл обо всех, моментами не верю
Держи меня всемером, а то сейчас натворю
Вот мы на месте, такого не придумаешь в песне
Я увидел, они светят, чтобы мы были вместе (А)
Эти звёзды говорят тебе без капельки лести (А)
Ты прекрасна рядом, с тобой блекнет рядом весь мир
(Слышь, как дела?)
You might also like
Слышь, как дела? Слышь, как дела?
Бейби, как дела? Бейби, как дела?
Ты не за динамо, я не в мокрых кроссах
Давай на серьёзном, давай всё по-взрослому
Слышь, как дела? Слышь, как дела?
Бейби, как дела? Бейби, как дела?
СМСка поздно, прилетаю в Moscow
Прыжок в такси, мы наблюдаем звёзды

Я волнуюсь, это жёсткое палево
Ведь со мной говорят губы цвета спелая малина
Поцелуй, и я полезу на ту статую Сталина
Дай мне руки, мы нарушим сегодня чьи-нибудь правила
Я забываю обо всех с тобой в семь утра
Мне пора идти, у меня дела
Бейби манит в душ, мне нужна вода
Это, походу, фит Saint P и Москва, еEmbed"
20,Aarne,Тесно,"TranslationsRomanizationТесно (Tight) Lyrics

Хотя бы раз давай будем честны:
Нам тесно быть вместе
Хотя бы раз давай будем честны: (Damn, Aarne goin' crazy on these motherfuck—)
Нам тесно быть вместе (По-по-по-по, ыр)

Хотя бы раз давай будем честны:
Нам тесно (Go) быть вместе (По-по-по)
Хотя бы раз давай будем честны:
Нам тесно (Go) быть вместе (По-по-по)
(А) Йоу, нам тесно быть вместе
Я больше никогда не назову тебя «bestie» (Факты-факты-факты)
Нам тесно быть вместе
Мои мозги кипят, если говорить без лести (Факты-факты-факты)
Нам тесно быть вместе
Я больше не сяду рядом с тобой в этом ресте (Факты-факты-факты; по-по-по)
Нам тесно быть вместе
Сука, пойми, нам тесно быть вместе (Go)
Мне так не по кайфу, сука, пойми (У)
Вижу только числа, я типа в IT, эй (Р-ра)
Сижу перед микро в своей white tee (Гэнг)
Мне так не по кайфу, сука, пойми

А, а, не делай мне мозг (Не делай мне мозг)
Хотя бы раз не делай мне мозг (А, а)
Не делай мне мозг
Бля, хотя бы раз не делай мне мозг (По-по-по, go)

Хотя бы раз давай будем честны:
Нам тесно быть вместе (Эй, эй, go)
Хотя бы раз давай будем честны:
Нам тесно быть вместе (Пау, по-по-по, ыр, go)
You might also like
Йоу, мне с тобой очень мило (Муа)
Она меня любит, как Дора любит пиво (По)
Я не понимаю девушек — не даю им мотива
Но вот эта детка меня очень сильно зацепила
А, а, да, я тот ещё мудила (У)
Твой любимый парень не с повышенным либидо
Меня сильно осаждало, когда сильно осадило (Бр-р)
Да, я не курю давно, но я б с тобой дунул тротила
У, у, говоришь, что ты любила (Гэнг)
Если не был рядом — это было некрасиво
Меня не пугает то, что ты прошла бы меня мимо
Нас опять тянет на дно, и мы опять как два дебила
А, а, yeah, yeah, у, у, damn, damn
Я тебя сильно люблю, но с тобой много проблем (По-по-по), ай

Хотя бы раз давай будем честны:
Нам тесно быть вместе
Хотя бы раз давай будем честны:
Нам тесно быть вместе (По-по-по-по, ыр)

Хотя бы раз давай будем честны: (Go-go)
Нам тесно быть вместе (Hold on, hold on)
Хотя бы раз давай будем честны: (Эй)
Нам тесно (Окей) быть вместе (По-по-по-по, ыр)41Embed"
21,Hiro,Особа крутая,"Особа крутая (Individual cool) LyricsОсоба крутая где-то летает
Дурь и кокаин – пудрит мозги, всем!
Папики дарят, пишут ей в дайрект
Рот ее занят, повремени
Пока ризл догорит
Ммм – ммм – ммм
Я у суки фаворит!
Я у суки фаворит пока догорит!
Asap Yams Rest and Peace!
Если б знал он сколько здесь кисок
Самообман их палятся слишком
Будь на дистанции, либо ты лишний
Здесь только танцы. Ну и делишки!
Все невъебатся, чьи-то братишки
Нарисовались с ретушной кистью
И тусоваться с ними – быть днищем!
Но пока догорит полностью весь weed
Никаких обид. Она сделает вид
Что может любить и летит
Сжигая воздух ярко как метеорит
Позабыв, как была ничьей в объятиях моих
Улыбаясь невесомо
Прижимаясь ко мне сонно
Это чувство мне знакомо
О май гад, О май гад!
Особа крутая где-то летает
Дурь и кокаин – пудрит мозги, всем!
Папики дарят, пишут ей в дайрект
Рот ее занят, повремени
Пока ризл догорит
Ммм – ммм – ммм
Я у суки фаворит!
Я у суки фаворит пока догорит!
Особа крутая где-то летает
Дурь и кокаин – пудрит мозги, всем!
Папики дарят, пишут ей в дайрект
Рот ее занят, повремени
Она королева, но не танцпола, встань с пола
Её бюст как у дам в клипе Шон Пола
Никаких чувств за никакие dollar
Не неси чушь, она всяких видала
Все эти прелести, парфюм и драгоценности
Прятать ей незачем – понты для нее мелочи
Рядом с ней белочки, покупки же не ей нести
Про её любовь кричал O.T. Genasis
Она может сделать пакость
И вытащить из суки шлак весь
Темперамент и характер подстроив под себя
Твой bad boy превратится в ясли
Не пачкает личико взмахами кисточек
Умнее и мудрее всяких выскочек
Как самая прущая из шишочек
Тебя она кумарит затянись ещё!
You might also likeОсоба крутая где-то летает
Дурь и кокаин – пудрит мозги, всем!
Папики дарят, пишут ей в дайрект
Рот ее занят, повремени
Особа крутая где-то летает
Дурь и кокаин – пудрит мозги, всем!
Папики дарят, пишут ей в дайрект
Рот ее занят, повремени
Пока ризл догорит
Ммм – ммм – ммм
Я у суки фаворит!
Я у суки фаворит пока догорит!1Embed"
22,Skryptonite,Это любовь,"Это любовь (It’s Love) Lyrics

Я опять на районе потерял себя в одном из дворов
Ты опять мне трезвонишь, чтобы знать, что я жив и здоров
Среди тех пацанов, барыг и быков, машин мусоров
Я пообещал бросить дуть и пить, ведь это любовь
Руки в петли, руки прямо, как узлы, руки на замок
Руки в пепле, губы об твои губы, глаза в потолок
Я снова в дверях, руки врозь, прости, что валюсь с ног
Я снова пообещал, всё, что смог, ведь это любовь
Ещё одной тёмной ночью, каждый твой вдох
И каждый твой выдох кричит об одном
Ещё одним холодным утром — руки без слов
Кричат об одном: «Это любовь»

Ты опять в телефоне ищешь сообщения шлюх, пока сплю
Ты опять их находишь, будишь и орёшь; все нервы к нулю
Среди кресел, столов и полок, посуды, холл, я тебя ловлю
Ты снова прощаешь всё, руки говорят: «Я люблю»
Я опять с самолёта в самолёт, в поезда
Ты опять в переезде пять часов, не устав
Я с дороги в дом, ты туда же, всё в привычных цветах
Ты опять оторвёшь, не удержав «я люблю»

Ещё одной тёмной ночью, каждый твой вдох
И каждый твой выдох кричит об одном
Ещё одним холодным утром — руки без слов
Кричат об одном: «Это любовь»

Ещё одной тёмной ночью
И каждый твой выдох кричит об одном
Ещё одним холодным утром — руки без слов
Кричат об одном
Ещё одной тёмной ночью, каждый твой вдох
И каждый твой выдох кричит об одном
Ещё одним холодным утром — руки без слов
Кричат об одном: «Это любовь» (Ещё одной тёмной ночью)
«Это любовь», м, м-м, м-м
Кричат об одном: «Это любо-овь»
«—Бовь» (Ещё одной тёмной ночью)
«—Бовь» (Ещё одной тёмной ночью)
«Любовь»
You might also like
Я опять на районе потерял себя в одном из дворов
Ты опять мне трезвонишь, чтобы знать, что я жив и здоров
Среди тех пацанов, барыг и быков, машин мусоров
Я пообещал бросить дуть и пить, ведь это любовь47Embed"
23,shadowraze,showdown,"TranslationsRomanization​​showdown Lyrics

MUPP broken your heart
Бу, блять! Ха-ха
Просыпайтесь нахуй (Let's go!)

Головы сияют на моей едкой катане
Голоса этих ублюдков по пятам бегут за нами
Погружённый в Изанами, все колёса под глазами
Её взгляд убьёт любого, её взгляд убьёт цунами
Похоронный марш гулей, на часах последний тик
Моя тати — Бравл Шелли, я несу ей дробовик
Ваши головы — мишени, я снесу их в один миг
Никаких резких движений — ваш хилбар на один хит
(Ha-ha-ha-ha-ha-ha!)
Динамайк — трипл килл, ха, нервы на пределе
Voice в моих ушах, я позабыл все дни недели
Как на лезвии ножа и шквал патрон, летят шрапнели
Psychokilla — весь мой шарм, вся эта мапа поредели
Эй, погоди, мои парни на Стокгольме
Мой showdown 1x1, и мои демоны все в форме
Если я зайду к вам в лобби — оно станет вам могилой
Если ты зайдешь — мне похуй, я не стартану и выйду, а-ха

По приказу Генерала Гавса!
— Бро, тут вообще сложная ситуация, все границы позакрывали нахуй. Ваще пиздец полный. Ща просто едем ближе ко Львову, но во Львове тоже пиздец начался, поэтому хуй знает
— Бля, чуваки, шутки шутками, но не занимайтесь хуйнёй, я вас умоляю. А-а-а!

Эй, я как Вольт — называй «Неуловимый»
Я в showdown'е как Кольт — твои патроны летят мимо
Ты на этой мапе ноль, ты не скрывайся, тебя видно
Я как Рико дал обойму, мой лайфстайл — psychokilla
De-Dead inside mode, я бегу по головам
Оверсайз весь шмот, я на трапе тут и там
Весь твой скилл — шаблон, я по рофлу на битах
Зачем мне октагон? Могу выйти на финдах, ха

Головы сияют на моей едкой катане
Голоса этих ублюдков по пятам бегут за нами
Погружённый в Изанами, все колёса под глазами
Её взгляд убьёт любого, её взгляд убьёт цунами
Генерал Гавс, ха, вижу вас без гема
Я отдал приказ, и все умрут от реквиема
Дота-рэп — топ-чарт, ха, наебал систему
Mute all chat, я на лям скупил все гемы, ха-ха
You might also like
Ха-а, бля98Embed"
24,Glass Animals,Heat Waves,"TranslationsItalianoDeutschFrançaisHeat Waves Lyrics
(Last night, all I think about is you)
(Don't stop, baby, you can walk through)
(Don't want, baby, think about you)
(You know that I'm never gonna lose)
Road shimmer wigglin' the vision
Heat, heat waves, I'm swimmin' in a mirror
Road shimmer wigglin' the vision
Heat, heat waves, I'm swimmin' in a—

Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now
Usually, I put somethin' on TV
So we never think about you and me
But today, I see our reflections clearly
In Hollywood, layin' on the screen
You just need a better life than this
You need somethin' I can never give
Fake water all across the road
It's gone now, the night has come, but

Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now

You can't fight it, you can't breathe
You say somethin' so lovin', but
Now I gotta let you go
You'll be better off in someone new
I don't wanna be alone
You know it hurts me too
You look so broken when you cry
One more and then I say goodbye
You might also like
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now

I just wonder what you're dreamin' of
When you sleep and smile so comfortable
I just wish that I could give you that
That look that's perfectly un-sad
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Heat waves been fakin' me out

Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now
Road shimmer wigglin' the vision
Heat, heat waves, I'm swimmin' in a mirror
Road shimmer wigglin' the vision
Heat, heat waves, I'm swimmin' in a mirror80Embed"
25,Mr.Kitty,After Dark,"TranslationsEspañolAfter Dark Lyrics
I see you, you see me
How pleasant, this feeling
The moment you hold me
I missed you, I'm sorry
I've given what I have
I showed you I'm growing
The ashes fall slowly
As your voice consoles me

As the hours pass
I will let you know
That I need to ask
Before I'm alone
How it feels to rest
On your patient lips
To eternal bliss
I'm so glad to know
As the hours pass
I will let you know
That I need to ask
Before I'm alone
How it feels to rest
On your patient lips
To eternal bliss
I'm so glad to know
We're swaying to drum beats
In motion, I'm feeling
My patience controlling
The question, I won't speak
We're telling the stories
Our laughter, he knows me
We're leaving, we're talking
You're closer, it's calming

As the hours pass
I will let you know
That I need to ask
Before I'm alone
How it feels to rest
On your patient lips
To eternal bliss
I'm so glad to know
As the hours pass
I will let you know
That I need to ask
Before I'm alone
How it feels to rest
On your patient lips
To eternal bliss
I'm so glad to know
You might also like
The night will hold us close and the stars will guide us home
I've been waiting for this moment, we're finally alone
I turn to ask the question, so anxious, my thoughts
Your lips were soft like winter, in your passion, I was lost

As the hours pass
I will let you know
That I need to ask
Before I'm alone
How it feels to rest
On your patient lips
To eternal bliss
I'm so glad to know
As the hours pass
I will let you know
That I need to ask
Before I'm alone
How it feels to rest
On your patient lips
To eternal bliss
I'm so glad to know
As the hours pass
I will let you know
That I need to ask
Before I'm alone
How it feels to rest
On your patient lips
To eternal bliss
I'm so glad to know
As the hours pass
I will let you know
That I need to ask
Before I'm alone
How it feels to rest
On your patient lips
To eternal bliss
I'm so glad to know67Embed"
26,Chris Brown,Under The Influence,"TranslationsPortuguêsUnder the Influence Lyrics
Kido, Kido
K-K-Kido on the beat, better run it back

Fuckin' Robitussin
I don't know why this shit got me lazy right now, yeah
Can't do Percocets or Molly (Molly)
I'm turnin' one, tryna live it up here right, right, right

Baby, you can
Ride it, ooh, yeah
Bring it over to my place
And you be like
""Baby, who cares?""
But I know you care
Bring it over to my place
You don't know what you did, did to me
Your body lightweight, speaks to me
I don't know what you did, did to me
Your body lightweight, speaks to me

('Cane on it)
Yeah
Yeah (Yeah)

I can make it hurricane on it ('Cane on it)
Hunnid bands, make it rain on it (Rain on it)
Tie it up, put a chain on it (Chain on it)
Make you tattoo my name on it (Name on it), oh
Make you cry like a baby, yeah
Let's GoPro and make a video, yeah (Yeah)
Make you cry like a baby, yeah
Let's GoPro and make a video (Video)
Oh, yeah-yeah-yeah-yeah

Baby, you can
Ride it, ooh, yeah
Bring it over to my place
And you be like
""Baby, who cares?""
But I know you care
Bring it over to my place
You don't know what you did, did to me
Your body lightweight, speaks to me
I don't know what you did, did to me
Your body lightweight, speaks to me

('Cane on it)
('Cane on it)
('Cane on it)

Baby, you can
Ride it, ooh, yeah
(Molly, Molly)
And you be like
""Baby, who cares?""
But I know you care
(Molly, Molly)You might also like13Embed"
27,Dxrk ダーク,RAVE,"RAVE Lyrics


I like Dxrk

Hah, hah-hah, hah-hah, hah-hah, hah-hah
Hah-hah, hah-hah, hah-hah, hah-hah
Hah-hah, hah-hah, hah-hah, hah-hah
Hah-hah, hah-hah, hah-hah, hah-hah
Hah-hah, hah-hah, hah-hah, hah-hah
Hah-hah, hah-hah, hah-hah, hah
Hah-hah, hah-hah, hah-hah, hah-hah
Hah-hah, hah-hah, hah-hah, hah


Dxrk

Hah, hah-hah, hah-hah, hah-hah, hah-hah
Hah-hah, hah-hah, hah-hah, hah-hah

Hah-hah, hah-hah, hah-hah, hah-hah
Hah-hah, hah-hah, hah-hah, hah-hah
Hah-hah, hah-hah, hah-hah, hah-hah
Hah-hah, hah-hah, hah-hah, hah
Hah-hah, hah-hah, hah-hah, hah-hah
Hah-hah, hah-hah, hah-hah, hahYou might also likeEmbed"
28,Duman,Жіберем қалай?,"Жіберем қалай? (How Can I Let Go?) Lyrics
Сезімімді біле тұра, сені сүйе тұра
Жіберем қалай? Жіберем қалай?
Сезімімді біле тұра, сені сүйе тұра
Жіберем қалай?

Түн Алматы
Келем саған хабарламам бармады
Қайта-қайта сеніп төзім қалмады
Естеліктер телефонда бар ма әлі? Үміт бар ма әлі?
Қалғаны (қалғаны)
Сезімде емес махаббатта қалмады (қалмады)
Кешіруге енді себеп болмады
Сені бақытты қылу емес олардың арманы
Сезімімді біле тұра, сені сүйе тұра
Жіберем қалай? Жіберем қалай?
Сезімімді біле тұра, сені сүйе тұра
Жіберем қалай? (Оу-оу)
Сезімімді біле тұра, сені сүйе тұра
Жіберем қалай? Жіберем қалай?
Сезімімді біле тұра, сені сүйе тұра
Жіберем қалай? Қала-ай?

Білесің бе?
Мен сені қалай іздеп сағындым
Білесің бе?
Күніге ойлай түсімнен табылдың

Сезімімді біле тұра, сені сүйе тұра
Жіберем қалай? Жіберем қалай?
Сезімімді біле тұра, сені сүйе тұра
Жіберем қалай? (Оу-оу)
Сезімімді біле тұра, сені сүйе тұра
Жіберем қалай? Жіберем қалай?
Сезімімді біле тұра, сені сүйе тұра
Жіберем қалай? Қала-а-ай?
You might also like
Қала-а-ай?
Қала-а-а-ай?Embed"
29,V $ X V PRiNCE,Дом 50,"Дом 50 (Home 50) Lyrics
А, е-е, е
Алмата, на хуй
Е

Заходите, здрасьте
Приходите в гости
Мясо доедаю, оставляю только кости
Серьёзная встреча, время забито на восемь
От тебя воняет мефом, блять, иди помойся
Игрушка не детская, нарезаю кольца
Машина немецкая, мотоцикл японцев
Отпечатки пальцев никуда не скроются
Барыга не палится, хочешь познакомиться?
Still Жетісу 3, дом 50
Дед с панорамы задымял косяк
Подруги танцуют сёдня как хотят
Много индики и пива, пацаны висят
Still Жетісу 3, дом 50
Мои братья все летают, нет гуся
С утра ожидают, чё по новостям
Мне Саня отправляет бабки по частям

Still дрынь-дрынь-дрынь-дрынь
Дрынь-дрынь-дрынь-дрынь
Дрынь-дрынь-дрынь
Дрынь-дрынь-дрынь-дрынь-дрынь
Дрынь-дрынь-дрынь-дрынь
Дрынь-дрынь-дрынь-дрынь
Дрынь-дрынь-дрынь
Дрынь-дрынь-дрынь (м-м)

Bonah на детоксе, но это так сказать
Слева-справа сука, я попал в тесак
Асха, Кислый, Бона, это dirty sound
Это жёсткая химия, this wassup
(Оу-уо)
I'ma on the beat, ты же Weezy
Пара новых кросс, bitch, для улыбки (е, е)
Есть право на всё, но это leasing
Думаешь, ты лев, но ты пингвин
А, сука
Не влетаю без резинки, чисто принцип, уоу
Скушал вкусный завтрак, созвонился с Принцем, уоу
Жалю как пчела на твоём ринге, уоу-уоу (у)
Эй, let's go, а
You might also like
Still Жетісу 3, дом 50
Дед с панорамы задымял косяк
Подруги танцуют сёдня как хотят
Много индики и пива, пацаны висят
Still Жетісу 3, дом 50
Мои братья все летают, нет гуся
С утра ожидают, чё по новостям
Мне Саня отправляет бабки по частям

Still дрынь-дрынь-дрынь-дрынь
Дрынь-дрынь-дрынь-дрынь
Дрынь-дрынь-дрынь
Дрынь-дрынь-дрынь-дрынь-дрынь
Дрынь-дрынь-дрынь-дрынь
Дрынь-дрынь-дрынь-дрынь
Дрынь-дрынь-дрынь
Дрынь-дрынь-дрынь (м-м)Embed"
