,Artists,Title,Lyrics
52,Ravid Plotnik,כל הזמן הזה,"16 ContributorsTranslationsEnglishKol Hazman Ha’zeh - כל הזמן הזה Lyrics
וכל הזמן הזה הייתי לבד
כל הזמן הזה, כל יום מחדש
כל הזמן הזה הייתי לבד
כל הזמן הזה (הייתי לבד)

?תגיד אתה זוכר את החבר'ה
?זוכר ת'דירה? זוכר את הצחוקים
הודעת לי שאתה מאוהב בי אחרי יומיים וחצי בקושי
בחדרי חדרים בכינו, בחוץ צחקנו עד השמיים
אמרת שיש בי ברכה ונישקת לי ת'ידיים
אמרת אין חברים בעולם הזה, וואלק אדם לאדם זאב
איך הכנסת אותי לעולם שלך, איך אהבת אותי עד כאב
הרבה יותר מכל השרלועות האלה שהיית איתן לפניי
זוכר יפו ד' שמאלה, ים של דמעות בשתי עיניי

אנ'לא יודעת מה
אנ'לא יודעת למה

אבל כל הזמן הזה הייתי לבד
כל הזמן הזה, כל יום מחדש
כל הזמן הזה הייתי לבד
כל הזמן הזה (הייתי לבד)
You might also like
זוכר ישיבות על הדשא בסירקין
שק קמח בגשם לאוטו
מבסוטים מכל מה שיש לנו
תמיד מכחישים את כל מה שלא טוב
אני הייתי זינה הנסיכה הלוחמת
אתה היית אבי נעלבי
הייתי שומעת את נינה סימון שרה
You don׳t know what love is
כשניסיתי להשתנות בשבילך
ולהיות אשת חלומותייך
כשרצית קלאסה הייתי ביונסה
רצית שכונה הייתי פרחה
כשחלמנו לטוס בעולם
אם רק היינו שורדים משברים
כשסיפרת איך אמא שלך עברה
מבית חולים לבית חולים לבית חולים

אנ'לא יודעת מה
אנ'לא יודעת למה

אבל כל הזמן הזה הייתי לבד
כל הזמן הזה, כל יום מחדש
כל הזמן הזה הייתי לבד
כל הזמן הזה (הייתי לבד)
?תגיד, 'תה זוכר את הטוב
?זוכר חיבוקים? זוכר נשיקות
כי כן היו רגעים, דקות נדירות של דפיקות לב ותשוקות
?תגיד עכשיו דוגרי, זוכר את הקריזות זוכר ת'ריבים
?זוכר שהלכנו ברחוב כועסים מסתכלים בקנאה על זוגות אוהבים
זוכר ת'מילים הטובות? איך קיווית לשמוע תודה
זוכר שבכיתי בשקט בסתר, פינה של החדר ואיש לא ידע
הם מדברים איתך עליי, כל המשפחה וכל החברים שלך
אני יודעת שאהבת אותי, אהבת כמו שלא אהבת בחיים שלך
אבל החיים חזקים מאיתנו ונתת לגשר ליפול
דיברת כמו ילד כועס ודפוק כשהיית קנאי וחסר ביטחון בגדול
אין אמא ואבא
אין חשק לכלום, רק גאנג'ה וטבק
ואני מתארגנת כל ערב על שאכטה כאילו החיים שלי סבבה
חיפשתי ת'דרך לחתוך ממך מבלי לצאת הפוגעת
זוכר התקפי חרדה ולילות לבנים שחשבתי שאני משתגעת
אהבתי אותך בכל רגע נתון, גם כשעשית לי דווקא
ריפאתי ת'לב השבור שלך ואתה בתמורה נעלמת

אנ'לא יודעת מה
אנ'לא יודעת למה

אבל כל הזמן הזה הייתי לבד
כל הזמן הזה, כל יום מחדש
כל הזמן הזה הייתי לבד
כל הזמן הזה (הייתי לבד)
כל יום מחדש
(לבד, לבד)
(לבד)
(כל הזמן הזה)
(לבד)
(כל יום מחדש)
(לבד, לבד)
(לבד, לבד)
(לבד, לבד)Embed"
53,Full Trunk,As a Stone,"4 ContributorsAs a Stone Lyrics
Slowly I'm facing all the things I left behind
All, all I ever tried was just to find a way to ease my mind

Cold-hearted as a stone (As a stone)
Pulling tricks to play along
I'm going back to be myself as I have known

Cold-hearted as a stone (As a stone)
Pulling tricks to play along
I'm going back to be myself as I have known

Slowly I'm, facing all the things I left behind
Slowly I'm, letting go of fears I've tried to hide

Cold-hearted as a stone (As a stone)
Pulling tricks to play along
I'm going back to be myself as I have known

Cold-hearted as a stone (As a stone)
Pulling tricks to play along
I'm going back to be myself as I have known
You might also like
Cold-hearted as a stone (As a stone)
Pulling tricks to play along
I'm going back to be myself as I have known

Cold-hearted as a stone
Pulling tricks to play along
I'm going back to be myself as I have knownEmbed"
54,Dennis Lloyd,Alien,"13 ContributorsAlien Lyrics
I'm feelin' like an alien, baby
Ridin' around the world
I'm feeling like a stranger, baby
‘Round and around we go

Where did I come from? Where do I go?
I'm so far away from home
What am I goin' for? How can I know
What I'm fightin' for

I'm feelin' like an alien, baby
Ridin' around the world
I'm feeling like a stranger, baby
‘Round and around we go
‘Round and around we go

‘Round and around we go
And around we go

So where can I go?
A million miles from home
What am I goin' for? How can I know
What I'm fightin' for
You might also like
I'm feelin' like an alien, baby
Ridin' around the world
I'm feeling like a stranger, baby
‘Round and around we go
‘Round and around we go

‘Round and around we go
I'm feelin' like an alien, baby
Ridin' around the world
I'm feeling like a stranger, baby
‘Round and around we go
And around we go6Embed"
55,Juice WRLD,Lucid Dreams,"516 ContributorsTranslationsTürkçeРусскийRomânăPortuguêsItalianoHebrewDeutschFrançaisفارسیNederlandsDanskEspañolLucid Dreams Lyrics
Enviyon on the mix
No, no, no, no
No-no, no, no, no
No, no, no, no, no
No, no, no, no

I still see your shadows in my room
Can't take back the love that I gave you
It's to the point where I love and I hate you
And I cannot change you, so I must replace you, oh
Easier said than done, I thought you were the one
Listenin' to my heart instead of my head
You found another one, but I am the better one
I won't let you forget me
I still see your shadows in my room
Can't take back the love that I gave you
It's to the point where I love and I hate you
And I cannot change you, so I must replace you, oh
Easier said than done, I thought you were the one
Listenin' to my heart instead of my head
You found another one, but I am the better one
I won't let you forget me

You left me falling and landing inside my grave
I know that you want me dead
I take prescriptions to make me feel a-okay
I know it's all in my head
I have these lucid dreams where I can't move a thing
Thinking of you in my bed
You were my everything
Thoughts of a wedding ring
Now I'm just better off dead (Uh, uh, uh)
I'll do it over again
I didn't want it to end
I watch it blow in the wind
I should've listened to my friends
Leave this shit in the past, but I want it to last
You were made outta plastic, fake
I was tangled up in your drastic ways
Who knew evil girls had the prettiest face?
You gave me a heart that was full of mistakes
I gave you my heart and you made heartbreak
You might also like
You made my heart break
You made my heart ache (I still see your shadows in my room)
You made my heart break
You made my heart ache (Can't take back the love that I gave you)
You made my heart break (Were made outta plastic, fake)
You made my heart ache (I still see your shadows in my room)
You made my heart break again (I was tangled up in your drastic ways)
(Who knew evil girls had the prettiest face?)

I still see your shadows in my room
Can't take back the love that I gave you
It's to the point where I love and I hate you
And I cannot change you, so I must replace you, oh
Easier said than done, I thought you were the one
Listenin' to my heart instead of my head
You found another one, but I am the better one
I won't let you forget me
I still see your shadows in my room
Can't take back the love that I gave you
It's to the point where I love and I hate you
And I cannot change you, so I must replace you, oh
Easier said than done, I thought you were the one
Listenin' to my heart instead of my head
You found another one, but I am the better one
I won't let you forget me
Leave this shit in the past, but I want it to last
You were made outta plastic, fake
I was tangled up in your drastic ways
Who knew evil girls had the prettiest face?
Easier said than done, I thought you were—
—instead of my head
You found another— better one
I won't let you forget me521Embed"
56,Hanan Ben Ari,אמן על הילדים,"3 ContributorsAmen Al Hayladim Sheli - אמן על הילדים Lyrics
איך הזמן הוא טס, זה לא נתפס שאני אבא
מקיץ מן הילדות אל המציאות שאני חי בה
זוכר איך אחרי שלושה נגמר האוויר
אמרתי חכי, אמרת לי תראה, הם קצת יגדלו ותבין
פתאום הם שישה, עוד רגע שבעה, וכמה שהם מדהימים
אבל הלחץ גדל, בנה לו מגדל, ללב יש רק שני חדרים
והמצפון עובד גם שבתות וחגים
...את אם השנה כבר שנים, אני עוד שבוי בפחדים ש

אני לא אספיק להגיע
לשמור, להציל, להושיע
לספוג במקומם ת'קליע
אוי כמה הלב הוא פגיע

אני מתפלל על הילדים שלי
שלא יירשו את השריטות שלי
שיחבקו אחד את השני
אמן שיהיו בריאים תמיד

אני מתפלל על הילדים שלי
שלא יירשו את השריטות שלי
שיחבקו אחד את השני
אמן שיהיו בריאים תמיד
You might also like
רוצה להיות שם בשבילם בדיוק כמו שהבטחתי
לשבת בסופו של יום, לדעת שהצלחתי
בינתיים סופר ניצחונות קטנים, מבסוט שלא ברחתי
לשירותים או למחשב, פשוט עצרתי והקשבתי
לסיפורים על ציפורים, למחשבות, לציורים
לחלומות שיום אחד יגשימו
לגיבורים, לנסיכות עם העיניים השותקות
יש ים סודות אם באמת תקשיבו

מתפלל על הילדים שלי
שלא יירשו את השריטות שלי
שיחבקו אחד את השני
אמן שיהיו בריאים תמיד

אמן אמן אמן על הילדים שלי
שלא יירשו את השריטות שלי
שיחבקו אחד את השני
אמן שיהיו בריאים תמיד

עומד מתבונן ביציע
צופה מהצד ומריע
גם בתהום, גם ברקיע
עוזב את הכל ומגיע
(אמן על הילדים)
רק תחבקו אחד את השני
אמן שתהיו בריאים תמידEmbed"
57,Noa Kirel,טרילילי טרללה,"6 ContributorsTrilili Tralala - טרילילי טרללה Lyrics
(Wha, wha, wha)
מה השם שלך? נועה
נח, מעניין זה קצת שם של בן

מי ששותה מים, יש לו הרבה סודות
וזאת עושה לחיים, שוברת תכוסות
אל תגידי ""הופ"" לפני שאת קופצת
איך שהיא קופצת, איזה קופצת?! תקשיבי
בחמישה לשבע השכבתי ת׳בנות
דפקתי עלי צבע בבר עם השכנות (וואי)
כל העיר רוחשת משהו פה קורה פה
משהו פה קורה פה, הנה האוועד באים

בסופש הזה רוקדת איך שבא לי
ובמוצש הולך להיות פנומנלי
אז בואי איתי יהיה לך ערב לא נורמלי, לא נורמלי
נח, אני מתפוצצת בעשר, תשע
שמונה, שלוש, אחת

טרילילי טרללה
לה-לה-לה-לה-לה-לה-לה
לה-לה-לה-לה-לה-לה-לה
טרילילי טרללה
לה-לה-לה-לה-לה-לה-לה
הנה זה עולה לה, טרללה
הנה זה עולה לה
זה לא עולה לי ולא נעליים, שקט
You might also like
אני רוצה סופ""ש מונפש, מותש, מופרעש
זיקוקים, פרחים, גברים בעקבים
לנצוץ, לקפוץ, לפרוץ, ההפך מלשרוץ
?מה ,the proof is in the pudding
לטס דרינק פינק, דונט טינק שרינק, בלי מינק קינק
איטצ׳ סטינק אוינק, רק צינג צינג ובלינג בלינג
זה שלי, בסדר, גלילאו גליליי

בסופש הזה רוקדת איך שבא לי
ובמוצש הולך להיות פנומנלי
אז בואי איתי יהיה לך ערב לא נורמלי, לא נורמלי
?נח, מה זה את עושה לי עי""ן ו""ו פי""י רי""ש הא""י

טרילילי טרללה
לה-לה-לה-לה-לה-לה-לה
לה-לה-לה-לה-לה-לה-לה
טרילילי טרללה
לה-לה-לה-לה-לה-לה-לה
הנה זה עולה לה, טרללה
הנה זה עולה לה, אנ'לא יודעת אני לא נהנית

טרילילי טרללה
לה-לה-לה-לה-לה-לה-לה
הנה זה עולה לה (לא), הנה זה עולה לה
עלי זה לא עובד
תרימו לה תרימו
תדעי לך יום שלא נחשב לא סופרים
תרימו לה תרימו
וגבינה חינם יש רק במלכודת עכברים
תרימו לה תרימו, עד שכולם ירימו, הלילה הם ישירו
נח, פחות שאיפה חאלהא ויותר

טרילילי טרללה
לה-לה-לה-לה-לה-לה-לה
טרילילי טרללה
לה-לה-לה-לה-לה-לה-לה
טרילילי טרללה
לה-לה-לה-לה-לה-לה-לה
הנה זה עולה לה, טרללה
הנה זה עולה לה
!עלה לך

!איזה אושר
לה-לה-לה-לה-לה-לה-לה
טרילילי טרללה (לה-לה-לה-לה)
לה-לה-לה-לה-לה-לה-לה
הנה זה עולה לה, טרללה
הנה זה עולה לה
ונח, אל תרוצי שיורים עליך כי תמותי עייפהEmbed"
58,Lady Gaga,Shallow,"249 ContributorsTranslationsEspañolPortuguêsItalianoFrançaisNederlandsΕλληνικάРусскийShallow Lyrics
Tell me somethin', girl
Are you happy in this modern world?
Or do you need more?
Is there somethin' else you're searchin' for?

I'm fallin'
In all the good times, I find myself longin'
For change
And, in the bad times, I fear myself

Tell me something, boy
Aren't you tired tryna fill that void?
Or do you need more?
Ain't it hard keepin' it so hardcore?

I'm falling
In all the good times, I find myself longing
For change
And, in the bad times, I fear myself

I'm off the deep end, watch as I dive in
I'll never meet the ground
Crash through the surface where they can't hurt us
We're far from the shallow now
You might also like
In the sha-ha, sha-hallow
In the sha-ha, sha-la-la-la-low
In the sha-ha, sha-hallow
We're far from the shallow now

Oh, ha, ah, ha
Oh-ah, ha

I'm off the deep end, watch as I dive in
I'll never meet the ground
Crash through the surface where they can't hurt us
We're far from the shallow now

In the sha-ha, shallow
In the sha-ha, sha-la-la-la-low
In the sha-ha, shallow
We're far from the shallow now362Embed"
59,Billie Eilish,bad guy,"338 ContributorsTranslationsHrvatskiTürkçeSvenskaEspañolРусскийRomânăPortuguêsPolskiItalianoHebrewDeutschFrançaisفارسیNederlandsDanskChinese TraditionalΕλληνικάไทย / Phasa Thai​bad guy Lyrics
White shirt now red, my bloody nose
Sleepin', you're on your tippy toes
Creepin' around like no one knows
Think you're so criminal
Bruises on both my knees for you
Don't say thank you or please
I do what I want when I'm wanting to
My soul? So cynical

So you're a tough guy
Like it really rough guy
Just can't get enough guy
Chest always so puffed guy
I'm that bad type
Make your mama sad type
Make your girlfriend mad tight
Might seduce your dad type
I'm the bad guy
Duh

I'm the bad guy

I like it when you take control
Even if you know that you don't
Own me, I'll let you play the role
I'll be your animal
My mommy likes to sing along with me
But she won't sing this song
If she reads all the lyrics
She'll pity the men I know
You might also like
So you're a tough guy
Like it really rough guy
Just can't get enough guy
Chest always so puffed guy
I'm that bad type
Make your mama sad type
Make your girlfriend mad tight
Might seduce your dad type
I'm the bad guy
Duh

I'm the bad guy, duh
I'm only good at bein' bad, bad

I like when you get mad
I guess I'm pretty glad that you're alone
You said she's scared of me?
I mean, I don't see what she sees
But maybe it's 'cause I'm wearing your cologne

I'm a bad guy
I'm, I'm a bad guy
Bad guy, bad guy
I'm a bad345Embed"
60,The Neighbourhood,Sweater Weather,"180 ContributorsTranslationsTürkçePortuguêsDanskРусскийPortuguêsFrançaisSweater Weather Lyrics
And all I am is a man
I want the world in my hands
I hate the beach but I stand
In California with my toes in the sand
Use the sleeves of my sweater
Let's have an adventure
Head in the clouds but my gravity's centered
Touch my neck and I'll touch yours
You in those little high waisted shorts, oh

She knows what I think about
And what I think about
One love, two mouths
One love, one house
No shirt, no blouse
Just us, you find out
Nothing that I wouldn't wanna tell you about, no

'Cause it's too cold for you here
And now, so let me hold
Both your hands in the holes of my sweater
And if I may just take your breath away
I don't mind if there's not much to say
Sometimes the silence guides a mind
To move to a place so far away
The goosebumps start to raise
The minute that my left hand meets your waist
And then I watch your face
Put my finger on your tongue
'Cause you love the taste, yeah
These hearts adore
Everyone the other beats hardest for
Inside this place is warm
Outside, it starts to pour
You might also like
Comin' down
One love, two mouths
One love, one house
No shirt, no blouse
Just us, you find out
Nothing that I wouldn't wanna tell you about
No, no, no

'Cause it's too cold for you here
And now, so let me hold
Both your hands in the holes of my sweater
'Cause it's too cold for you here
And now, so let me hold
Both your hands in the holes of my sweater, woah

Woah, woah, woah
Woah, woah, woah, woah
Woah, woah
Woah, woah, woah, woah
Woah, woah

'Cause it's too cold for you here
And now, so let me hold
Both your hands in the holes of my sweater
'Cause it's too cold for you here
And now, let me hold
Both your hands in the holes of my sweater
And it's too cold, it's too cold
The holes of my sweater512Embed"
61,Dennis Lloyd,Never Go Back,"14 ContributorsTranslationsHebrewNever Go Back Lyrics
I never go back, no, no, no
I never go, I never go back
I never go back, no, no, no
I never go, I never go back

It's not my baby, not the girl I knew then
Not the girl I know now, anymore
I wanna leave you, ""Baby don’t you leave me
Baby don't you love me? Mi amor""

Always look around girl, try to see the good things
Why you always say that you've never done wrong?
""Why you never hold me? Tell me that you love me
Why you always say that you’d never let go?""

I never go back, no, no, no
I never go, I never go back
I never go back, no, no, no
I never go, I never go back

I wanna do this, ""I don't wanna do this""
Girl, we shouldn't do this anymore""
""Quiero dejarte, no me necesitas?
Por que siempre dices, eso mi amor?""
You might also like
Always look around girl, try to see the good things
Why you always say that you've never done wrong?
""Why you never hold me? Tell me that you love me
Why you always say that you'd never let go?""

I never go back, no, no, no
I never go, I never go back
I never go back, no, no, no
I never go, I never go back
(I never go back)

I wanna leave you, wanna leave you
But I can't let go (I can't do it)
I wanna leave you, wanna leave you
But I can't let go (I can’t do it)
I wanna leave you, wanna leave you
But I can’t let go (I can't do it)
I wanna leave you, wanna leave you
But I can’t let go (I can't do it)

Always look around girl, try to see the good things
(I wanna leave you, wanna leave you)
Why you always say that you never done wrong?
(But I can't let go)
""Why you never hold me? Tell me that you love me
(I wanna leave you, wanna leave you)
Why you always say that you'd never let go?""
(But I can’t let go)
I never go back, no, no, no
I never go, I never go back
I never go back, no, no, no
I never go, I never go back


Always look around girl, try to see the good things
Why you always say that you've never done wrong?
""Why you never hold me? Tell me that you love me
Why you always say that you'd never let go?""

I never go back, no, no, no
I never go, I never go back
I never go back, no, no, no
I never go, I never go back6Embed"
62,Omer Adam,שני משוגעים,"6 ContributorsShney Meshuga’im - שני משוגעים Lyrics
בואי נרוץ רחוק
תני לי רק כמה דקות
להזכר במקומות
שאז היינו ילדים
לא פחדנו סתם לחיות
בלי המינוס, הצרות
בלי לתלות את התקוות
כמו כביסה על חבלים

כמו איזה שני משוגעים בחוף
שמרנו רגעים בלב שתינו ת'נוף
ואת היית יפה כמו פרח שאסור היה לקטוף
רציתי רק לקטוף אותך
רציתי לקטוף

כמו איזה שני משוגעים בחוף
שמרנו רגעים בלב שתינו ת'נוף
ואת היית יפה כמו פרח שאסור היה לקטוף
רציתי רק לקטוף אותך
רציתי לקטוף

כמו איזה שני משוגעים
You might also like
בואי נרוץ רחוק
ברגליים יחפות
מזכרונות ואכזבות
שאז רצינו לשחרר
כמעט וויתרנו על עצמינו
נברח רחוק מהשגרה
כמו אז שהסתפקנו
באושר הפשוט

כמו איזה שני משוגעים בחוף
שמרנו רגעים בלב שתינו ת'נוף
ואת היית יפה כמו פרח שאסור היה לקטוף
רציתי רק לקטוף אותך
רציתי לקטוף

כמו איזה שני משוגעים בחוף
שמרנו רגעים בלב שתינו ת'נוף
ואת היית יפה כמו פרח שאסור היה לקטוף
רציתי רק לקטוף אותך
רציתי לקטוף

כמו איזה שני משוגעים
כמו איזה שני משוגעים בחוף
שמרנו רגעים בלב שתינו ת'נוף
ואת היית יפה כמו פרח שאסור היה לקטוף
רציתי רק לקטוף אותך
רציתי לקטוף

כמו איזה שני משוגעיםEmbed"
63,Jane Bordeaux,איך אפשר,"5 ContributorsEich Efshar Shelo - איך אפשר שלא Lyrics
כמו דייג עקשן עם רשת עשויה חורים
בסירת עץ קטנה מיטלטלת במים סוערים
לא ויתרת לא אמרת נואש והלב שלי חזר לפעום מחדש

כמו צדפה על חול, שנשטפה אל החוף בלי ברירה
הנה בא גל גדול, סוחף אותה בחזרה
כבר ויתרתי, כמעט אמרתי נואש והלב שלי חזר לפעום מחדש

איך אפשר שלא להתאהב בך
איך אפשר שלא להתאהב
איך כולם בעולם לא מאוהבים בך גם
איך אפשר שלא להתאהב

גם כשניסיתי לסרב, להיות נחושה
איך יכולתי אליך להישאר אדישה
כשהסתכלת עליי כאילו אני גלידה ואתה הכפית
וכשאמרת לי היום במיוחד, את יפייפית

איך אפשר שלא להתאהב בך
איך אפשר שלא להתאהב
רק בבקשה, כבר היה לי כואב
תשתדל לא לשבור לי את הלב
You might also like

איך אפשר שלא להתאהב בך
איך אפשר שלא להתאהב
איך כולם בעולם לא מאוהבים בך גם
איך אפשר שלא להתאהב

שלא להתאהב
אי אפשר שלא להתאהבEmbed"
64,Idan Raichel,ואם תבואי אליי,"3 ContributorsTranslationsEnglishVe’eem Tavo’ee Elay - ואם תבואי אליי Lyrics
עכשיו הגיע הרגע
הרי חיכית לי ואני תמיד חיכיתי לך
והנה היום הזה הגיע
עכשיו מבטיח שאף פעם לא תהיי לבד

ואם פתאום תיעלמי, אחכה כל הלילה
ואלחש בתפילה שאליי תחזרי

ואם תבואי אליי, נישאר כל הלילה
ואלחש לך מילים שתדעי שאני שלך
ובבוקר תראי, נישאר ביחד
הולכים את הדרך הזו, לתמיד יד ביד
ואם תבואי אליי, נישאר כל הלילה
ואלחש לך מילים שתדעי שאני שלך
ובבוקר תראי, נישאר ביחד
הולכים את הדרך הזו, לתמיד יד ביד

עכשיו הגיע הרגע
הרי חיכית לי ואני תמיד חיכיתי לך
והנה היום הזה הגיע
עכשיו מבטיח שאף פעם לא תהיי לבד
You might also like
ואם פתאום תיעלמי, אחכה כל הלילה
ואלחש בתפילה שאליי תחזרי

ואם תבואי אליי, נישאר כל הלילה
ואלחש לך מילים שתדעי שאני שלך
ובבוקר תראי, נישאר ביחד
הולכים את הדרך הזו, לתמיד יד ביד
ואם תבואי אליי, נישאר כל הלילה
ואלחש לך מילים שתדעי שאני שלך
ובבוקר תראי, נישאר ביחד
הולכים את הדרך הזו, לתמיד יד בידEmbed"
65,Odeya,אם הייתי צריכה,"1 ContributorIm Haiti Tzricha - אם הייתי צריכה Lyricsאז אני חוזרת הביתה
היה לי יום בחסות
הבדידות כי נפגעת
אתה רע לעולם
כי אתה לא מבין מה אתה
כולך מבולבל בין רצוי למנוצל
אתה שואל את עצמך
למה באת אלי
למה המילים שלי קשות לך מדי
אל תענה כי את אישה ואני ילד
ואני לא סובל את עצמי
למה אתה מרגיש כל כך קטן מה ?
הכסף שלך לא קונה את הנחת שלי
חבל אה..
אתה כל כך מפחד מעומקים שלי
אז אל תתקרב אלי
אתה יקר לי מדי בשביל לשתוק אולי
אם הייתי צריכה
שתבוא עד אלי
בשעות לא שעות
כי קשה לי מדי
אם הייתי בוכה
לך על החזה
תענה לי עכשיו
מה היית עושה?
You might also likeאם הייתי צריכה
שנברח לכולם
בימים לא ימים
אני יורקת פה דם
אם הייתי שותקת
מילה לא יוצאת
אהבה שלי
מה כבר היית עושה?
מה היית עושה?
תראי אותו מקליד שעה ורבע
החוסר ביטחון שלו עושה לי להתאהב
והקטע הכי חזק בו
זה שהוא לא באמת אוהב את עצמו
ואז זה מתיישב עלי
אני פסיכולוגית לנשמה שלו כואב
אני אכתוב עליו שירים
כמו אנטיביוטיקה ללב
אני ארפא אותו
הוא מספר לי שהאקסית שלו בדיוק התחתנה
והאח שלו הוא הזמר הכי חזק במדינה
והלב שלו זהב והנימוסים שלו חלודה
ואז עצרנו לשתות
ואני עונה לו יש לך אופי של כוכב
והאהבה שאתה מציע לי בוודאות תכאב
הוא קורא לי אהבה שלי ומכיר אותי מעכשיו
אבל בא לי הכלEmbed"
66,Bar Tzabary,ג'וני,"5 ContributorsJohnny - ג’וני Lyrics
ג'וני בחור אחראי
כל בוקר בשש ושלושים מחכה לרכבת
הוא לא מפחד משגרה שוחקת
גם אם זה בא על חשבון הנשמה
ג'וני חי את הרגע בשביל העתיד
לא מתאים לו לרדוף אחרי חלומות
רוצה אהבה, משפחה ובית
ועדיין מרגיש אל דורית מי""א

ואני לא כמו ג'וני, רוצה לחלום
שורף עוד סיגריה, מתחיל את היום
רוצה לראות נופים ועולם
להרגיש בכל רגע, אני חי וקיים

ג'וני מתחיל להתעייף מהשגרה
מתהפכת לו הבטן
קורצים לו נופים וגם חלום ישן
הכסף לא עושה אותו מאושר
ג'וני מחליט לקום ולשנות
אף פעם לא מאוחר להיות עצמך
בן ארבעים, דירה, כלב, יגואר צנועה עלק
החליט לעזוב כל מה שבנה
You might also like
פתאום ג'וני כמוני, רוצה לחלום
שורף עוד סיגריה, מתחיל את היום
רוצה לראות נופים ועולם
להרגיש בכל רגע, אני חי וקיים
פתאום ג'וני כמוני, רוצה לחלום
שורף עוד סיגריה, מתחיל את היום
רוצה לראות נופים ועולם
להרגיש בכל רגע, אני חי וקיים

אוהו, אוהו

פתאום ג'וני כמוני, רוצה לחלום
שורף עוד סיגריה, מתחיל את היום
רוצה לראות נופים ועולם
להרגיש בכל רגע, אני חי וקיים
פתאום ג'וני כמוני, רוצה לחלום
שורף עוד סיגריה, מגשים את היום
רוצה לראות נופים ועולם
להרגיש בכל רגע, אני חי וקיים

פתאום ג'וני כמוני, פתאום ג'וני כמוני
פתאום ג'וני כמוני, ג'וני כמוניEmbed"
67,Tuna,גם זה יעבור,"25 ContributorsGam Zeh Ya’avor - גם זה יעבור Lyrics

?מצאו תקופה לשבור לך ת'לב, אה
?והעולם כאילו כלום, מסתובב, אה
מה אני אגיד לך? בוא נראה
לא, אין לי קלישאות לזרוק בכל מקרה
אם זה כואב, אז זה כואב
אני פה, אם תרצה ככה, לשתות, לשפוך ת'לב
קשה לראות אותך דועך
וגם שמע אולי מוקדם להתלכלך
הרי אולי עוד תחזרו, אולי תהיה עוד חתונה
בעצם פאק איט, בת זונה
יאללה, שידעו שזה כואב
גם לפרס שברו פעם ת'לב
?גבר, עם מה הוא מתמודד
רגשות אשם, רחמים, לב בודד
אני מבין שקצת קשה להתעודד
:אבל בדקתי ת'סטטיסטיקה ושמע

גם זה יעבור
כמו הקינלי, כמו הטכנו, כמו הקרוקס
גם זה יעבור
כמו הפילם, כמו ליאור מילר, סמנתה פוקס
גם זה יעבור
כמו הדיסקים, כמו הווקמן, תראה בקרוב, יו, יו
ֿזמן מרפא את הכל, הוא מרפא את הכל
אם לא הכל, את הרוב וגם זה יעבור
You might also like
והימים עוברים לאט
פתאום הכי קשה זה בשבת
פתאום עצות באות במאסה
כולם נהיו פרופסורים לבאסה
הבט בכוס המלאה
מזגתי בה קצת וויסקי, זה יתפוס לעוד שעה
?אין לי עצות, כי מי אני
אתה חכם, אתה מבין שזה זמני
כן, נכון, תישאר קצת מצולק
החיים הם לא סרנגה, לא הכל חלק
?ואיך אמרו חז""ל
עוד תגיע אהבה ובסוף תגיד מזל""""
עד אז, שים ת'ראש על דיונה
באוזניות הדיסק של טונה
אני צריך אותך חזק
שכשאני אהיה למטה, תזכיר לי

שגם זה יעבור
כמו הקינלי, כמו הטכנו, כמו הקרוקס
גם זה יעבור
כמו הפילם, כמו ליאור מילר, סמנתה פוקס
גם זה יעבור
כמו הדיסקים, כמו הווקמן, תראה בקרוב, יו, יו
ֿזמן מרפא את הכל, הוא מרפא את הכל
אם לא הכל, את הרוב וגם זה יעבור
כמו הטוקשואו, כמו נאפסטר, סודה קלאב
גם זה יעבור
כמו נטסקייפ, כמו בלוקבאסטר, ערוצי זהב
גם זה יעבור
כמו באג אלפיים, הטמגוצ'י, תראה בקרוב, יו
ֿזמן מרפא את הכל, הוא מרפא את הכל
אם לא הכל, את הרוב וגם זה יעבור

כמו קפולסקי, כמו הפאוץ', הטי.אל.וי
גם זה יעבור
כמו הטירנוזאורוס, כמו הגראנג', מספר קווי
גם זה יעבור
כמו רות גונזלס, רונן חרזי, דנה מודן
כמו הסקיני, הטברנה, להקת עדן, אייל ברקן
כמו האלק הוגן, כמו האנגובר, מיכל זוארץ, ריצ'רד גיר
חנוך רוזן, סאדם חוסיין, סרטי בורקס, קארין אופיר
כמו טלעד, כמו הפוגים, המקרנה, התמימות
כמו הסקטים, פיטר אנדרה, האטארי
הבדידות

(זמן מרפא את הכל, הוא מרפא את הכל
אם לא הכל, את הרוב וגם זה יעבור
זמן מרפא את הכל, הוא מרפא את הכל
אם לא הכל, את הרוב וגם זה יעבור
זמן מרפא את הכל, הוא מרפא את הכל
אם לא הכל, את הרוב וגם זה יעבור)2Embed"
